interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2024-01-02T14:00:00-05:00,2024-01-02 19:00:00+00:00,2024-01-02T15:00:00-05:00,2024-01-02 20:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,35.52,35.34,0.0,0.18
2024-01-02T15:00:00-05:00,2024-01-02 20:00:00+00:00,2024-01-02T16:00:00-05:00,2024-01-02 21:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,62.85,65.17,0.0,-2.32
2024-01-02T16:00:00-05:00,2024-01-02 21:00:00+00:00,2024-01-02T17:00:00-05:00,2024-01-02 22:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,40.84,44.49,0.0,-3.65
2024-01-02T17:00:00-05:00,2024-01-02 22:00:00+00:00,2024-01-02T18:00:00-05:00,2024-01-02 23:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,30.12,32.83,0.0,-2.71
2024-01-02T18:00:00-05:00,2024-01-02 23:00:00+00:00,2024-01-02T19:00:00-05:00,2024-01-03 00:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,28.6,31.21,0.0,-2.61
2024-01-02T19:00:00-05:00,2024-01-03 00:00:00+00:00,2024-01-02T20:00:00-05:00,2024-01-03 01:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.57,51.81,0.0,-4.24
2024-01-02T20:00:00-05:00,2024-01-03 01:00:00+00:00,2024-01-02T21:00:00-05:00,2024-01-03 02:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,47.0,49.16,0.0,-2.16
2024-01-02T21:00:00-05:00,2024-01-03 02:00:00+00:00,2024-01-02T22:00:00-05:00,2024-01-03 03:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.1,53.01,0.0,-1.91
2024-01-02T22:00:00-05:00,2024-01-03 03:00:00+00:00,2024-01-02T23:00:00-05:00,2024-01-03 04:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,37.88,39.35,0.0,-1.47
2024-01-02T23:00:00-05:00,2024-01-03 04:00:00+00:00,2024-01-03T00:00:00-05:00,2024-01-03 05:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.29,34.41,0.0,-1.12
2024-01-03T00:00:00-05:00,2024-01-03 05:00:00+00:00,2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,32.88,33.53,0.0,-0.65
2024-01-03T01:00:00-05:00,2024-01-03 06:00:00+00:00,2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,33.65,34.22,0.0,-0.57
2024-01-03T02:00:00-05:00,2024-01-03 07:00:00+00:00,2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.57,32.1,0.0,-0.53
2024-01-03T03:00:00-05:00,2024-01-03 08:00:00+00:00,2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,31.52,31.99,0.0,-0.47
2024-01-03T04:00:00-05:00,2024-01-03 09:00:00+00:00,2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,34.44,35.0,0.0,-0.56
2024-01-03T05:00:00-05:00,2024-01-03 10:00:00+00:00,2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.81,51.7,0.0,-1.89
2024-01-03T06:00:00-05:00,2024-01-03 11:00:00+00:00,2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,38.73,40.34,0.0,-1.61
2024-01-03T07:00:00-05:00,2024-01-03 12:00:00+00:00,2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,39.86,41.28,0.0,-1.42
2024-01-03T08:00:00-05:00,2024-01-03 13:00:00+00:00,2024-01-03T09:00:00-05:00,2024-01-03 14:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,63.41,65.63,0.0,-2.22
